#doc name topic proportion ...
0	Italian_parliament_votes_to_back_same-sex_civil_unions$AAA$.html.txt	6	0.44194774467976555	11	0.4330195718303392	5	0.10714126282627688	0	0.01785953433201324	13	3.188633160509416E-6	12	3.188633160509416E-6	10	3.188633160509416E-6	9	3.188633160509416E-6	8	3.188633160509416E-6	7	3.188633160509416E-6	4	3.188633160509416E-6	3	3.188633160509416E-6	2	3.188633160509416E-6	1	3.188633160509416E-6	
1	138.html.txt	6	0.9953802416488986	13	3.553660270078181E-4	12	3.553660270078181E-4	11	3.553660270078181E-4	10	3.553660270078181E-4	9	3.553660270078181E-4	8	3.553660270078181E-4	7	3.553660270078181E-4	5	3.553660270078181E-4	4	3.553660270078181E-4	3	3.553660270078181E-4	2	3.553660270078181E-4	1	3.553660270078181E-4	0	3.553660270078181E-4	
2	20.html.txt	3	0.7531582169291557	5	0.20777450052868826	4	0.03896525497616265	13	9.275233272116792E-6	12	9.275233272116792E-6	11	9.275233272116792E-6	10	9.275233272116792E-6	9	9.275233272116792E-6	8	9.275233272116792E-6	7	9.275233272116792E-6	6	9.275233272116792E-6	2	9.275233272116792E-6	1	9.275233272116792E-6	0	9.275233272116792E-6	
3	Che_Guevara_s___Motorcycle_Diaries___companion_dies$AAA$.html.txt	6	0.46719689474084786	1	0.3073673795570439	11	0.20491256213152859	10	0.02049389076560094	13	2.9272804978718673E-6	12	2.9272804978718673E-6	9	2.9272804978718673E-6	8	2.9272804978718673E-6	7	2.9272804978718673E-6	5	2.9272804978718673E-6	4	2.9272804978718673E-6	3	2.9272804978718673E-6	2	2.9272804978718673E-6	0	2.9272804978718673E-6	
4	Robert_Kubica_wins_2008_Canadian_Grand_Prix$AAA$.html.txt	9	0.630642536098792	6	0.3135804128278258	3	0.05574967522286431	13	2.4887136834455742E-6	12	2.4887136834455742E-6	11	2.4887136834455742E-6	10	2.4887136834455742E-6	8	2.4887136834455742E-6	7	2.4887136834455742E-6	5	2.4887136834455742E-6	4	2.4887136834455742E-6	2	2.4887136834455742E-6	1	2.4887136834455742E-6	0	2.4887136834455742E-6	
5	32.html.txt	11	0.5374854357229908	4	0.32499207614047776	6	0.06562518135593977	13	0.040625962581526474	2	0.031251255541121487	12	2.2320731048583303E-6	10	2.2320731048583303E-6	9	2.2320731048583303E-6	8	2.2320731048583303E-6	7	2.2320731048583303E-6	5	2.2320731048583303E-6	3	2.2320731048583303E-6	1	2.2320731048583303E-6	0	2.2320731048583303E-6	
6	142.html.txt	7	0.3466916211544876	5	0.247637353566459	8	0.22641143908331002	1	0.12264030161013724	2	0.028302903907252864	13	0.018869164136964427	0	0.009435424366675988	12	1.6845963875515066E-6	11	1.6845963875515066E-6	10	1.6845963875515066E-6	9	1.6845963875515066E-6	6	1.6845963875515066E-6	4	1.6845963875515066E-6	3	1.6845963875515066E-6	
7	94.html.txt	8	0.5652008771804097	4	0.27758507837769403	11	0.08361163267353695	6	0.0735785234129771	13	2.3888355382285353E-6	12	2.3888355382285353E-6	10	2.3888355382285353E-6	9	2.3888355382285353E-6	7	2.3888355382285353E-6	5	2.3888355382285353E-6	3	2.3888355382285353E-6	2	2.3888355382285353E-6	1	2.3888355382285353E-6	0	2.3888355382285353E-6	
8	162.html.txt	11	0.702547920016703	3	0.18974055610295706	13	0.04615449420710824	9	0.04102642056797078	8	0.020514126011420955	12	1.8314548711205208E-6	10	1.8314548711205208E-6	7	1.8314548711205208E-6	6	1.8314548711205208E-6	5	1.8314548711205208E-6	4	1.8314548711205208E-6	2	1.8314548711205208E-6	1	1.8314548711205208E-6	0	1.8314548711205208E-6	
9	7.html.txt	7	0.9999785057885565	13	1.6534008802706287E-6	12	1.6534008802706287E-6	11	1.6534008802706287E-6	10	1.6534008802706287E-6	9	1.6534008802706287E-6	8	1.6534008802706287E-6	6	1.6534008802706287E-6	5	1.6534008802706287E-6	4	1.6534008802706287E-6	3	1.6534008802706287E-6	2	1.6534008802706287E-6	1	1.6534008802706287E-6	0	1.6534008802706287E-6	
10	Twenty_dead_after_double_suicide_bombing_in_Iraq$AAA$.html.txt	6	0.6785280643219362	4	0.2071331639576765	5	0.11428265327986777	13	5.1016764108686115E-6	12	5.1016764108686115E-6	11	5.1016764108686115E-6	10	5.1016764108686115E-6	9	5.1016764108686115E-6	8	5.1016764108686115E-6	7	5.1016764108686115E-6	3	5.1016764108686115E-6	2	5.1016764108686115E-6	1	5.1016764108686115E-6	0	5.1016764108686115E-6	
11	81.html.txt	2	0.45059387868473727	13	0.2407302900173711	3	0.14814341266412126	4	0.14197095417390462	8	0.018521784369571546	12	4.408898921583324E-6	11	4.408898921583324E-6	10	4.408898921583324E-6	9	4.408898921583324E-6	7	4.408898921583324E-6	6	4.408898921583324E-6	5	4.408898921583324E-6	1	4.408898921583324E-6	0	4.408898921583324E-6	
12	More_than_100_reported_dead_after_Syrian_troops_move_against_protesters$AAA$.html.txt	6	0.43476505620846473	5	0.27535246744463693	4	0.18840014630073082	3	0.10144782515682473	13	3.450488934281988E-6	12	3.450488934281988E-6	11	3.450488934281988E-6	10	3.450488934281988E-6	9	3.450488934281988E-6	8	3.450488934281988E-6	7	3.450488934281988E-6	2	3.450488934281988E-6	1	3.450488934281988E-6	0	3.450488934281988E-6	
