#doc name topic proportion ...
0	Italian_parliament_votes_to_back_same-sex_civil_unions$AAA$.html.txt	0	0.5264761029843965	4	0.39705020586569334	3	0.07602382196387733	5	2.77130417303712E-4	2	9.484290940295413E-5	1	7.789585932619206E-5	
1	138.html.txt	2	0.906325425774365	5	0.027863701667966322	0	0.023240329823722258	3	0.021000614278058057	4	0.013737995005377713	1	0.007831933450510543	
2	20.html.txt	5	0.9978242109494287	0	6.711115277832462E-4	3	6.064352115238995E-4	4	3.967123912039635E-4	2	2.7536700140385804E-4	1	2.261629186563328E-4	
3	Che_Guevara_s___Motorcycle_Diaries___companion_dies$AAA$.html.txt	0	0.9337577867098893	5	0.04119941729761883	2	0.024654064874961662	3	1.917662245499901E-4	4	1.254479226267432E-4	1	7.151697035359603E-5	
4	Robert_Kubica_wins_2008_Canadian_Grand_Prix$AAA$.html.txt	2	0.6232676111971461	0	0.35877786565335573	1	0.017468452112823912	5	2.1634566119838514E-4	3	1.630577241925489E-4	4	1.0666765128322886E-4	
5	32.html.txt	3	0.7995712241616073	5	0.2000502934711519	0	1.618525238847254E-4	4	9.567545648455027E-5	2	6.641048816282272E-5	1	5.4543898708719405E-5	
6	142.html.txt	2	0.7354999317215407	3	0.2641180213508605	5	1.4647944905516963E-4	0	1.2217438834959097E-4	4	7.222062464959176E-5	1	4.117246554453471E-5	
7	94.html.txt	3	0.7220088456591899	5	0.25419274759813215	4	0.02349575241822177	0	1.732113481486976E-4	2	7.107118202301467E-5	1	5.837179428448135E-5	
8	162.html.txt	4	0.7355418792834552	5	0.26410602491713797	0	1.32819206312348E-4	3	1.2001916244907628E-4	2	5.449768787593262E-5	1	4.475974276949104E-5	
9	7.html.txt	1	0.9995078756965705	5	1.4376831120956784E-4	0	1.1991310453022684E-4	3	1.0835684666373716E-4	4	7.088391789664128E-5	2	4.9202123129347736E-5	
10	Twenty_dead_after_double_suicide_bombing_in_Iraq$AAA$.html.txt	0	0.6849583429317709	5	0.3142129730125627	3	3.33987304903302E-4	4	2.1848484362741276E-4	2	1.5165524842640808E-4	1	1.245566587093145E-4	
11	81.html.txt	3	0.7707988548517223	5	0.22228996812551746	2	0.006295170588283088	0	3.194847175718773E-4	4	1.8885616028636846E-4	1	1.0766555661890947E-4	
12	More_than_100_reported_dead_after_Syrian_troops_move_against_protesters$AAA$.html.txt	5	0.5069828257201008	0	0.4924564137109504	3	2.2600520649410625E-4	4	1.4784607520978188E-4	2	1.026232890691723E-4	1	8.428599817578345E-5	
13	Large_earthquake_off_Japan__tsunami_warning_issued$AAA$.html.txt	5	0.7508243672707086	0	0.24848895548327524	3	2.7675382573990557E-4	4	1.8104435543613893E-4	2	1.2566696272391545E-4	1	1.0321210211616554E-4	
14	60.html.txt	2	0.9996418036256608	5	1.0654627464963242E-4	0	8.886725080010097E-5	3	8.030294191863833E-5	4	5.253186408685394E-5	1	2.9948042883874452E-5	
15	Six_killed_and_hundreds_injured_in_Bahrain$AAA$.html.txt	0	0.6931447869020889	5	0.3060659284947558	3	3.181080118616729E-4	4	2.0809706898394637E-4	2	1.4444486019994174E-4	1	1.1863466210976101E-4	
16	Man_with_knife_stabs_people_in_Finnish_city_of_Turku$AAA$.html.txt	0	0.6347395720322068	3	0.32924147702061685	5	0.035611435580666644	4	1.7998082863958262E-4	2	1.249287448326326E-4	1	1.0260579303756977E-4	
17	US_Senate_blocks_Alaska_refuge_drilling$AAA$.html.txt	0	0.5639387975228952	4	0.43515628802600165	5	3.806955527855214E-4	3	2.8692671765905903E-4	2	1.3028621749367652E-4	1	1.0700596316494882E-4	
18	47.html.txt	3	0.46939540136583313	1	0.45622672053828567	5	0.027863701667966322	0	0.023240329823722258	4	0.013737995005377713	2	0.009535851598815006	
19	93.html.txt	3	0.6897871145791797	5	0.18284291707097639	4	0.1269107926376685	0	2.627897165717095E-4	2	1.0782651356198011E-4	1	8.855948204174477E-5	
20	96.html.txt	1	0.5437005323138417	5	0.3354319340441079	3	0.12073576166956142	0	6.583851069385998E-5	4	3.8918945554314394E-5	2	2.701451624076343E-5	
21	43.html.txt	5	0.7608547034956978	3	0.21798152470516918	0	0.017466469456191232	2	0.0035309823164769104	4	1.059300543133921E-4	1	6.038997215144526E-5	
22	127.html.txt	2	0.7228868474062488	5	0.2672467826351809	0	0.00904954362445371	3	4.029512821142919E-4	4	2.6359908466489786E-4	1	1.502759673375069E-4	
23	Indian_airliner_crashes__nearly_160_presumed_dead$AAA$.html.txt	5	0.6237540105850186	0	0.3758095005340472	3	1.759195726847155E-4	4	1.1508150089761495E-4	2	7.988066045292466E-5	1	6.560714689895964E-5	
24	57.html.txt	2	0.6361597436533588	3	0.30937870867502215	0	0.041917747243768066	5	0.012257854282624077	4	1.821205259427819E-4	1	1.0382561928414606E-4	
25	48.html.txt	3	0.5597144822151426	5	0.42352223992985866	0	0.007168573926420585	4	0.004237540239051293	2	0.002941372074147817	1	0.0024157916153790147	
26	Zimbabwe_opposition_claims_early_victory_in_election$AAA$.html.txt	4	0.4734551444743935	0	0.32449455757693696	5	0.20180026639251755	3	1.3685262768681742E-4	2	6.214134173650696E-5	1	5.1037586728618435E-5	
27	80.html.txt	2	0.6880791522995455	4	0.20670183953729507	5	0.10388768261580135	0	5.941758219963897E-4	3	5.369139485429098E-4	1	2.0023577681879876E-4	
28	3.html.txt	2	0.6257447443570786	0	0.3256260800688145	5	0.01923764288325745	3	0.01449923354134896	4	0.009484979598000423	1	0.0054073195515000946	
